Omega RDXL6SD-USB Serial No. 0102-01540 - Sampled Data
Date:,2020-04-09

Time,Sample No.,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Cold Junction 1,Cold Junction 2,Cold Junction 3,Cold Junction 4,Voltage 1,Voltage 2,Voltage 3,Voltage 4,Resistance 5,Resistance 6,
,,°F,°F,°F,°F,°F,°F,°F,°F,°F,°F,mV,mV,mV,mV,Ω,Ω,
2020-04-09 22:58:29,139, 416.2, 377.7, 374.8, 366.6,High,High,  92.8,  93.7,  94.6,  94.9,7.3239,7.5023,7.3932,7.1474,High,High,
2020-04-09 23:00:29,140, 416.1, 377.6, 375.0, 366.8,High,High,  92.7,  93.7,  94.6,  94.9,7.3209,7.4994,7.3997,7.1531,High,High,
2020-04-09 23:02:29,141, 416.2, 377.6, 374.7, 366.6,High,High,  92.6,  93.7,  94.5,  94.9,7.3233,7.4989,7.3938,7.1511,High,High,
2020-04-09 23:04:29,142, 416.3, 377.9, 374.5, 366.7,High,High,  92.5,  93.6,  94.4,  94.8,7.3254,7.5089,7.3901,7.1530,High,High,
2020-04-09 23:06:29,143, 416.4, 377.8, 373.3, 366.7,High,High,  92.5,  93.6,  94.4,  94.8,7.3300,7.5080,7.3565,7.1521,High,High,
2020-04-09 23:08:29,144, 416.4, 377.6, 374.9, 366.8,High,High,  92.6,  93.5,  94.4,  94.7,7.3296,7.5020,7.4023,7.1554,High,High,
2020-04-09 23:10:29,145, 416.5, 377.9, 374.4, 366.6,High,High,  92.5,  93.4,  94.4,  94.8,7.3345,7.5128,7.3872,7.1512,High,High,
2020-04-09 23:12:29,146, 416.4, 377.6, 374.4, 366.8,High,High,  92.5,  93.5,  94.4,  94.7,7.3335,7.5023,7.3884,7.1553,High,High,
2020-04-09 23:14:29,147, 416.5, 377.6, 373.6, 366.7,High,High,  92.5,  93.5,  94.4,  94.7,7.3325,7.5011,7.3637,7.1553,High,High,
2020-04-09 23:16:29,148, 416.3, 377.5, 373.9, 366.7,High,High,  92.4,  93.5,  94.4,  94.7,7.3299,7.5027,7.3727,7.1547,High,High,
